158;-173
158.05;-222
158.1;-269
158.15;-263
158.2;-249
158.249;-243
158.299;-272
158.349;-343
158.399;-416
158.449;-436
158.499;-426
158.549;-465
158.599;-510
158.649;-465
158.698;-367
158.748;-323
158.798;-326
158.848;-279
158.898;-187
158.948;-150
158.998;-143
159.048;-66
159.098;96
159.147;234
159.197;297
159.247;312
159.297;330
159.347;377
159.397;453
159.447;594
159.497;778
159.546;932
159.596;1012
159.646;1015
159.696;1022
159.746;1022
159.796;1009
159.846;1049
159.896;1140
159.946;1282
159.995;1380
160.045;1434
160.095;1471
160.145;1473
160.195;1425
160.245;1370
160.295;1301
160.345;1217
160.395;1196
160.444;1268
160.494;1367
160.544;1417
160.594;1443
160.644;1456
160.694;1437
160.744;1418
160.794;1380
160.844;1300
160.893;1227
160.943;1195
160.993;1219
161.043;1236
161.093;1193
161.143;1084
161.193;917
161.243;793
161.293;746
161.342;715
161.392;684
161.442;708
161.492;766
161.542;775
161.592;745
161.642;656
161.692;469
161.741;246
161.791;85
161.841;1
161.891;-41
161.941;-51
161.991;-37
162.041;-34
162.091;-56
162.141;-100
162.19;-216
162.24;-333
162.29;-377
162.34;-382
162.39;-439
162.44;-506
162.49;-496
162.54;-483
162.59;-502
162.639;-511
162.689;-487
162.739;-454
162.789;-417
162.839;-331
162.889;-238
162.939;-196
162.989;-186
163.039;-172
163.088;-92
163.138;-16
163.188;5
163.238;-24
163.288;-46
163.338;-57
163.388;-64
163.438;-37
163.488;21
163.537;98
163.587;192
163.637;284
163.687;319
163.737;326
163.787;356
163.837;380
163.887;344
163.937;271
163.986;192
164.036;136
164.086;135
164.136;131
164.186;88
164.236;6
164.286;-73
164.336;-173
164.385;-275
164.435;-301
164.485;-264
164.535;-244
164.585;-287
164.635;-341
164.685;-393
164.735;-500
164.785;-640
164.834;-758
164.884;-880
164.934;-1020
164.984;-1176
165.034;-1322
165.084;-1409
165.134;-1447
165.184;-1527
165.234;-1595
165.283;-1579
165.333;-1538
165.383;-1542
165.433;-1544
165.483;-1527
165.533;-1514
165.583;-1451
165.633;-1332
165.683;-1220
165.732;-1118
165.782;-1027
165.832;-985
165.882;-1034
165.932;-1101
165.982;-1106
166.032;-1059
166.082;-964
166.132;-892
166.181;-858
166.231;-796
166.281;-693
166.331;-605
166.381;-571
166.431;-557
166.481;-523
166.531;-480
166.58;-454
166.63;-488
166.68;-516
166.73;-497
166.78;-425
166.83;-347
166.88;-279
166.93;-214
166.98;-185
167.029;-165
167.079;-146
167.129;-214
167.179;-377
167.229;-502
167.279;-516
167.329;-479
167.379;-461
167.429;-505
167.478;-623
167.528;-699
167.578;-694
167.628;-690
167.678;-699
167.728;-688
167.778;-675
167.828;-666
167.878;-653
167.927;-677
167.977;-760
168.027;-817
168.077;-799
168.127;-773
168.177;-779
168.227;-775
168.277;-709
168.327;-643
168.376;-580
168.426;-517
168.476;-443
168.526;-339
168.576;-214
168.626;-118
168.676;-27
168.726;49
168.776;85
168.825;96
168.875;80
168.925;80
168.975;97
169.025;117
169.075;95
169.125;42
169.175;10
169.224;42
169.274;121
169.324;220
169.374;322
169.424;410
169.474;470
169.524;486
169.574;488
169.624;520
169.673;560
169.723;524
169.773;425
169.823;338
169.873;316
169.923;315
169.973;330
170.023;384
170.073;440
170.122;465
170.172;468
170.222;450
170.272;410
170.322;355
170.372;307
170.422;313
170.472;267
170.522;128
170.571;-5
170.621;-67
170.671;-71
170.721;-115
170.771;-226
170.821;-379
170.871;-494
170.921;-535
170.971;-549
171.02;-577
171.07;-630
171.12;-709
171.17;-819
171.22;0
171.27;-867
171.32;-880
171.37;-865
171.42;-848
171.469;-841
171.519;-845
171.569;-815
171.619;-749
171.669;-681
171.719;-626
171.769;-579
171.819;-510
171.868;-415
171.918;-355
171.968;-310
172.018;-275
172.068;-238
172.118;-182
172.168;-138
172.218;-118
172.268;-102
172.317;-94
172.367;-81
172.417;-53
172.467;40
172.517;145
172.567;228
172.617;301
172.667;381
172.717;470
172.766;537
172.816;551
172.866;528
172.916;486
172.966;458
173.016;452
173.066;438
173.116;415
173.166;393
173.215;377
173.265;388
173.315;418
173.365;450
173.415;462
173.465;455
173.515;439
173.565;427
173.615;398
173.664;371
173.714;377
173.764;391
173.814;371
173.864;320
173.914;254
173.964;236
174.014;251
174.063;278
174.113;285
174.163;228
174.213;122
174.263;69
174.313;151
174.363;269
174.413;343
174.463;417
174.512;494
174.562;524
174.612;501
174.662;493
174.712;521
174.762;595
174.812;699
174.862;786
174.912;867
174.961;972
175.011;1093
175.061;1154
175.111;1167
175.161;1183
175.211;1248
175.261;1352
175.311;1459
175.361;1541
175.41;1579
175.46;1606
175.51;1629
175.56;1679
175.61;1736
175.66;1779
175.71;1839
175.76;1936
175.81;2015
175.859;2025
175.909;1963
175.959;1888
176.009;1870
176.059;1917
176.109;1946
176.159;1883
176.209;1774
176.259;1670
176.308;1568
176.358;1467
176.408;1385
176.458;1354
176.508;1319
176.558;1222
176.608;1061
176.658;897
176.707;770
176.757;702
176.807;726
176.857;726
176.907;609
176.957;434
177.007;261
177.057;133
177.107;72
177.156;71
177.206;98
177.256;118
177.306;125
177.356;65
177.406;-57
177.456;-150
177.506;-199
177.556;-205
177.605;-162
177.655;-115
177.705;-60
177.755;-20
177.805;-25
177.855;-88
177.905;-137
177.955;-127
178.005;-106
178.054;-67
178.104;24
178.154;157
178.204;248
178.254;278
178.304;291
178.354;303
178.404;296
